NAME_1,NAME_2,NAME_3,yr2014,yr2022,yr2023,eq_mi
Meknès - Tafilalet,Errachidia,Assoul,0.013215436600148678,0.05426907166838646,3.216302704569456,3.8
Meknès - Tafilalet,Errachidia,Errachidia,1.2110899686813354,1.666828989982605,4.790200710296631,NA
Meknès - Tafilalet,Errachidia,Errich,0.35520437359809875,0.4890143573284149,3.532766696569082,NA
Meknès - Tafilalet,Errachidia,Errissani,0.020763929933309555,0.045723799616098404,3.4473217396359694,4
Meknès - Tafilalet,Errachidia,Goulmima,0.6068999171257019,0.697174072265625,3.9251696225759147,4
Meknès - Tafilalet,Errachidia,Imilchil,0.012196451425552368,0.18220169842243195,3.2078391619630766,3.8
Meknès - Tafilalet,Errachidia,NA (Arfoud),0.8978461027145386,2.064483880996704,6.351715634850895,NA
Meknès - Tafilalet,Errachidia,NA (Boudnib),0.6992818713188171,1.2018769979476929,4.779052429729038,NA
Meknès - Tafilalet,Errachidia,NA (Errachidia),6.648003578186035,13.737918853759766,18.01339315599011,NA
Meknès - Tafilalet,Errachidia,NA (Errich),0.3528813123703003,0.5992215275764465,4.252475622200197,NA
Meknès - Tafilalet,Errachidia,NA (Goulmima),3.5178463459014893,2.7998316287994385,5.9047475948053245,3.8
Meknès - Tafilalet,Errachidia,NA (Jorf),0.5910081267356873,0.6020404100418091,4.685050339409799,NA
Meknès - Tafilalet,Errachidia,NA (Moulay Ali Cherif),32.68375015258789,39.61381149291992,31.082909626119278,NA
Meknès - Tafilalet,Errachidia,NA (Tinejdad),0.7681015729904175,0.8723381161689758,3.8715850925073028,3.8
Meknès - Tafilalet,Ifrane,Azrou,1.4918073415756226,1.8728240728378296,5.706834986403182,3.8
Meknès - Tafilalet,Ifrane,NA (Azrou),3.6858623027801514,6.459646224975586,10.45170740400042,3.4
Meknès - Tafilalet,Ifrane,NA (Ifrane),109.21292114257812,231.16175842285156,201.12963182785933,3.2
Meknès - Tafilalet,Khénifra,El Kbab,0.9406413435935974,1.2946733236312866,4.6639746878598185,3.8
Meknès - Tafilalet,Khénifra,Khenifra,1.1667898893356323,1.6199278831481934,4.943073642881293,3.8
Meknès - Tafilalet,Khénifra,Midelt,0.8236573934555054,1.2825238704681396,4.361406400397017,3.8
Meknès - Tafilalet,Khénifra,NA (Khenifra),159.67047119140625,217.15782165527344,218.48803186416626,3.2
Meknès - Tafilalet,Khénifra,NA (M'Rirt),1.5419108867645264,4.679947853088379,9.62665570865978,3.6
Meknès - Tafilalet,Khénifra,NA (Midelt),134.3172607421875,170.5219268798828,142.5055598894755,NA
Meknès - Tafilalet,Meknès,Ain Orma,2.9019503593444824,3.548360586166382,9.099825143814087,NA
Meknès - Tafilalet,Meknès,Meknes Banl,36.51948165893555,45.76323318481445,50.82716181471541,NA
Meknès - Tafilalet,Meknès,NA (Al Ismailia),181.6890869140625,178.3673858642578,173.05092748006186,NA
Meknès - Tafilalet,Meknès,NA (Al Machouar Stina),82.1401138305664,81.37913513183594,96.20692920684814,NA
Meknès - Tafilalet,Meknès,NA (Boufakrane),5.690589427947998,12.937864303588867,22.95082166459825,NA
Meknès - Tafilalet,Meknès,NA (Hamrya),177.48361206054688,171.91517639160156,181.64351351120894,NA
Meknès - Tafilalet,Meknès,NA (Maknassat Azzaytoun),476.2496643066406,424.39923095703125,428.0732440370502,NA
Meknès - Tafilalet,Meknès,NA (Moulay Idriss Zerhoun),66.14857482910156,61.66115188598633,64.10369383205067,NA
Meknès - Tafilalet,Meknès,NA (Ouislane),88.7606201171875,106.88063049316406,112.51833945512772,NA
Meknès - Tafilalet,Meknès,NA (Toulal),21.044755935668945,21.8701114654541,30.83211887904576,NA
Meknès - Tafilalet,Meknès,Zerhoun,1.3325879573822021,1.6120611429214478,6.393713900021145,NA
Oriental,Berkane Taourirt,Ahfir,12.547451972961426,15.916138648986816,18.221350038752835,NA
Oriental,Berkane Taourirt,Aklim,8.691363334655762,10.10683822631836,12.928912489754813,NA
Oriental,Berkane Taourirt,El Aioun,1.493844985961914,1.994957685470581,5.479446613126331,NA
Oriental,Berkane Taourirt,NA (Ahfir),86.614593505859375,88.080902099609375,98.92185719807942,NA
Oriental,Berkane Taourirt,NA (Ain Erreggada),68.55345916748047,86.55323028564453,85.22092315128872,NA
Oriental,Berkane Taourirt,NA (Aklim),6.256207466125488,4.880753993988037,9.084933150898326,NA
Oriental,Berkane Taourirt,NA (Berkane),136.1875457763672,277.1487731933594,355.641980927566,NA
Oriental,Berkane Taourirt,NA (El Aioun Sidi Mellouk),8.370600700378418,14.676383018493652,20.182310231526692,NA
Oriental,Berkane Taourirt,NA (Saidia),466.3932800292969,395.5755920410156,324.2695810317993,NA
Oriental,Berkane Taourirt,NA (Sidi Slimane Echcherraa),4.145182132720947,4.314091205596924,8.650554057090513,NA
Oriental,Berkane Taourirt,NA (Taourirt),559.6514892578125,552.9412841796875,534.4606342930948,NA
Oriental,Berkane Taourirt,Taourirt,2.6602914333343506,2.893965005874634,6.478898485501608,NA
Oriental,Figuig,Bni Tadjite,0.12685589492321014,0.1488526612520218,3.3475792983899244,NA
Oriental,Figuig,Figuig,0.04406163841485977,0.05779341608285904,3.2868887193893133,NA
Oriental,Figuig,NA (Bouarfa),21.88508415222168,27.30504608154297,27.48553678393364,NA
Oriental,Figuig,NA (Figuig),7.219738960266113,7.717146396636963,10.696953212061235,NA
Oriental,Jerada,Ain Bni Mat,0.4332699179649353,0.4185923635959625,3.3421138640907078,NA
Oriental,Jerada,Debdou,0.052536312490701675,0.12405919283628464,3.377260273171438,NA
Oriental,Jerada,Jerada Banl,1.4197615385055542,1.8880538940429688,5.3746957745816974,NA
Oriental,Jerada,NA (Ain Bni Mathar),0,0,3.5486716066524515,NA
Oriental,Jerada,NA (Debdou),31.856508255004883,29.789196014404297,36.19285591910867,NA
Oriental,Jerada,NA (Jrada),186.5525360107422,202.06532287597656,216.7238026280557,NA
Oriental,Jerada,NA (Touissit),0,0.26291587948799133,4.854793909002963,NA
Oriental,Nador,Driouch,9.267181396484375,10.051414489746094,12.072275651467812,NA
Oriental,Nador,Guelaia,34.41096115112305,40.77846908569336,38.948263035880196,NA
Oriental,Nador,Louta,2.5662500858306885,3.0386099815368652,6.809911731216642,NA
Oriental,Nador,NA (Al Aaroui),43.3288459777832,81.31768035888672,92.71592835224035,NA
Oriental,Nador,NA (Bni Ansar),170.0271759033203,161.1487274169922,138.13349325006658,NA
Oriental,Nador,NA (Nador),216.4267578125,287.0345458984375,263.7531730897965,NA
Oriental,Nador,NA (Zaio),38.0328369140625,55.8051643371582,53.619291334441215,NA
