NAME_1,NAME_2,NAME_3,yr2014,yr2023_post_eq,yr2023_pre_eq,eq_mi,pc_14_23pre_eq,pc_14_23post_eq
Marrakech - Tensift - Al Haouz,Chichaoua,NA (Chichaoua),16.419551849365234,28.788165461632513,28.32278417818474,6.4,72.49425829657875,75.32857002272834
Marrakech - Tensift - Al Haouz,Chichaoua,NA (Imintanoute),37.7715950012207,46.396321888627675,39.71341276168823,7,5.140947212858694,22.833896442891113
Marrakech - Tensift - Al Haouz,El Kelaâ des Sraghna,El Kelaa Sr,2.4733643531799316,7.448461554944515,6.284107584702341,6.4,154.07124415871237,201.14695982289254
Marrakech - Tensift - Al Haouz,El Kelaâ des Sraghna,Laattaouia,3.1160595417022705,8.039989404380322,6.9183601538340245,6.6,122.02272008109951,158.01783620566377
Marrakech - Tensift - Al Haouz,El Kelaâ des Sraghna,NA (Ben Guerir),1.065382957458496,7.7190294150383245,8.162551449191186,5,666.1612561048662,624.5309642884008
Marrakech - Tensift - Al Haouz,El Kelaâ des Sraghna,NA (Kelaat Sraghna),383.0251159667969,370.49157358805337,322.4691653251648,6.4,-15.809916404249968,-3.2722507888568844
Marrakech - Tensift - Al Haouz,El Kelaâ des Sraghna,NA (Laataouia),2.628178119659424,7.268773134412436,6.957159292517287,6,164.71414705403757,176.57079556519443
Marrakech - Tensift - Al Haouz,El Kelaâ des Sraghna,NA (Sidi Rahhal),5.761785507202148,11.135513700287918,9.354882124698523,6,62.36081876017523,93.26498159934428
Marrakech - Tensift - Al Haouz,El Kelaâ des Sraghna,NA (Tamallalt),1.958833932876587,6.574659077326457,5.459813674911857,6,178.72774630231214,235.64147358175677
Marrakech - Tensift - Al Haouz,El Kelaâ des Sraghna,Rehamna,3.0279741287231445,9.328380279242992,9.124997866781133,6,201.35653340700833,208.07331511701665
Marrakech - Tensift - Al Haouz,El Kelaâ des Sraghna,Sidi Bou Ot,1.4917792081832886,6.864807024598122,6.152086502975887,6.6,312.39926587179025,360.17580798422495
Marrakech - Tensift - Al Haouz,Essaouira,Essaouira,0.6749202013015747,4.7986960196867585,4.047176213640915,6,499.652552381154,611.001983706005
Marrakech - Tensift - Al Haouz,Essaouira,NA (Ait Daoud),5.591460227966309,11.660892235821692,9.279956263654372,5.2,65.96659701234466,108.54824608245349
Marrakech - Tensift - Al Haouz,Essaouira,NA (El Hanchane),0.49816805124282837,4.512173670344055,3.8747079784316676,4.8,677.7913434563008,805.7533214117395
Marrakech - Tensift - Al Haouz,Essaouira,NA (Essaouira),93.6104736328125,52.49260772069295,49.70253168212044,5.4,-46.90494583215246,-43.92442887684188
Marrakech - Tensift - Al Haouz,Essaouira,NA (Talmest),0.81626129150390625,4.776949728208203,4.780495775035686,4.6,485.6575369668633,485.2231115121233
Marrakech - Tensift - Al Haouz,Essaouira,NA (Tamanar),19.16080665588379,19.085287952423094,24.444271347739477,4.8,27.574333308317538,-0.39413112828162133
Marrakech - Tensift - Al Haouz,Essaouira,Tamanar,0.52723228931427,4.643370885401964,3.8666446663831406,5.6,633.3854061579166,780.7068496205411
Marrakech - Tensift - Al Haouz,Marrakech,Bour,7.322807788848877,14.975377671420574,13.909544706344604,6.8,89.94824263346044,104.50321930100337
Marrakech - Tensift - Al Haouz,Marrakech,Loudaya,15.076104164123535,25.395912766456604,22.051638575962613,7.2,46.26881279076522,68.45142810097467
Marrakech - Tensift - Al Haouz,Marrakech,NA (Annakhil),107.40991973876953,113.91589084748298,98.5203559014105,6.8,-8.27629688112536,6.057141765431492
Marrakech - Tensift - Al Haouz,Marrakech,NA (Machouar Kasba),190.32493591308594,274.1559275309245,230.6223048457393,6.4,21.172931828047812,44.0462471276601
Marrakech - Tensift - Al Haouz,Marrakech,NA (Marrakech Medina),470.2358093261719,657.3039794921875,378.3175523546007,6.6,-19.54726865724798,39.781778940671586
Marrakech - Tensift - Al Haouz,Marrakech,NA (Menara Gueliz),422.425048828125,383.6095662434896,329.63581900761045,6.6,-21.96584461028691,-9.188726542688645
Marrakech - Tensift - Al Haouz,Marrakech,NA (Sidi Youssef Ben Ali),97.54566955566406,165.09844741821288,142.16775621686662,6.6,45.74481559710771,69.2524621239081
Meknès - Tafilalet,El Hajeb,Agourai,1.0061289072036743,5.902993373572826,5.783825272007992,3.8,474.85926809149436,486.7034861346909
Meknès - Tafilalet,El Hajeb,Ain Taoujda,7.523634910583496,13.117579653859138,14.568985861700934,3.6,93.64291376242545,74.3516240455347
Meknès - Tafilalet,El Hajeb,El Hajeb,4.171461582183838,12.32800666987896,12.499874127538579,3.8,199.65214544765536,195.5320677656827
Meknès - Tafilalet,El Hajeb,NA (Agourai),36.7348518371582,53.01323574781418,44.94444519281387,3.6,22.348241370478224,44.31318787623363
Meknès - Tafilalet,El Hajeb,NA (Ain Taoujdate),42.66679000854492,32.63967790911275,29.779943350589637,NA,-30.203459541658567,-23.500976045828693
Meknès - Tafilalet,El Hajeb,NA (El Hajeb),1.7814109325408936,9.15767665579915,10.319288683348688,NA,479.27615099060256,414.06873554644756
Meknès - Tafilalet,El Hajeb,NA (Sbaa Aiyoun),20.96514129638672,23.228623740375042,25.63103737550623,NA,22.255495506360674,10.79640920129848
Meknès - Tafilalet,Errachidia,Arfoud,0.500025749206543,3.9833322316408157,3.8127765969226237,4,662.5160510179447,696.625421383138
Meknès - Tafilalet,Errachidia,Assoul,0.013215436600148678,3.0608096757242755,2.928191298971305,3.8,22057.35573154172,23060.86685845733
Meknès - Tafilalet,Errachidia,Errachidia,1.2110899686813354,4.74768260217482,4.5545904990789055,NA,276.0736705661971,292.01733355484845
Meknès - Tafilalet,Errachidia,Errich,0.35520437359809875,3.4910698898376955,3.189805171779684,NA,798.019677930215,882.8341510759994
Meknès - Tafilalet,Errachidia,Errissani,0.020763929933309555,3.4367778268642724,3.2579034362968646,4,15590.206270011182,16451.673203977556
Meknès - Tafilalet,Errachidia,Goulmima,0.6068999171257019,3.990344224497676,3.7191713742307715,4,512.8146123078893,557.496254637186
Meknès - Tafilalet,Errachidia,Imilchil,0.012196451425552368,3.2103026201648097,2.919537509615357,3.8,23837.59797623376,26221.6119849337
Meknès - Tafilalet,Errachidia,NA (Arfoud),0.8978461027145386,5.924270757313432,6.014206784612992,NA,569.8482920881097,559.8314276134912
Meknès - Tafilalet,Errachidia,NA (Boudnib),0.6992818713188171,4.494248904784521,4.501909393403265,NA,543.7903766778405,542.6948973106582
Meknès - Tafilalet,Errachidia,NA (Errachidia),6.648003578186035,17.16513064702352,17.973089248903335,NA,170.35318253856065,158.19978050774716
Meknès - Tafilalet,Errachidia,NA (Errich),0.3528813123703003,3.7597636375576258,3.974209082703436,NA,1026.2169299951627,965.4470797286857
